Filice, Simone
Joshi, Gautam
Troncy, Raphael
Marcinek, Bradley
Ashton, Neil
Peintner, Bart
Radeck-Arneth, Stephan
Heie, Matthias H.
León, Saul
Yilmaz, Okan
Simões, Alberto
Lamprecht, Andreas
Mollá, Diego
Greenhill, Simon J.
Tanaka, Shohei
Haggerty, James
Lindén, Krister
Lin, Thomas
Choi, Edward
Bryan, Craig
Béchet, Frederic
Jimeno Yepes, Antonio
Boudabous, Mohamed
Korkmaz, Turgay
Ariki, Yasuo
Loh, Stanley
Visweswariah, Karthik
Sieber, Gregor
Matsuyama, Yoichi
Panzner, Maximilian
Lieske, Jay
Schlaikjer, Andrew
Tezuka, Satoshi
Sak, Haşim
Harshfield, Benjamin
Dittmann, Henrik
Mitchell, Christopher
Rhulmann, Mathieu
Garg, Nikhil
Neumann, Arne
Evans, James
Jiménez-Salazar, Héctor
Laroche, Romain
Forbus, Kenneth
Bienenstock, Elie
Scholz, Thomas
Castillo, Esteban
Souza, Bruno
Ortiz-Martínez, Daniel
Lagun, Dmitry
Kozlowski, Marek
Di Caro, Luigi
PreoÅ£iuc-Pietro, Daniel
Saint-Amand, Hervé
Samih, Younes
Lehmann, Jens
Miranda-Jiménez, Sabino
Figueroa, Alejandro
Kasch, Niels
Enríquez, Fernando
Schmidt, Christoph
Rösener, Christoph
Jimenez, Sergio
Falcone, Michael
Bittar, André
Wallhoff, Frank
Kjersten, Brian
Miyazaki, Taro
Rangarajan, Sudarshan
Brown, Gregory
MartÃ¬nez-CÃ¡mara, Eugenio
Adjogah, Richard
Barzdins, Guntis
Martins, André F. T.
Postma, Marten
Agić, Željko
Green, Matthew
Blessing, Andre
Solt, Illés
Schwartz, Roy
Guzmán, Rafael
Büchse, Matthias
Wärnestål, Pontus
Centelles, Jordi
Weinberger, Michael
Unal, Erdem
Kok, Stanley
Dalton, Adam
Moncecchi, Guillermo
Ferguson, Michael
Cook, Kevin
Toscani, Domenico
Baeza-Yates, Ricardo
Hild, Kenneth
Hashimoto, Atsushi
Tresp, Volker
Annesi, Paolo
Sakaguchi, Keisuke
Weber, Michael
Mayer, Thomas
Rubino, Raphaël
Andreas, Jacob
Sperr, Henning
Hecht, Ron
Lohk, Ahti
Jaggi, Martin
Greiner, Paul
van Beek, Peter
Chikhi, Salim
Alexopoulos, Panos
Hirst, Daniel
Bouallegue, Mohamed
Pastusiak, Andrzej
Henríquez Q., Carlos A.
Marecek, David
Cooper, Doug
Piotrowski, Michael
Thiele, Gregor
Cunha, Evandro
Merhav, Yuval
Williams, Philip
Gardner, Gregory
Babani, James
White, Jerome
Lyons, Kent
Gaspari, Federico
Quintard, Ludovic
Guo, Stephen
Provoost, Thomas
Tarelkin, Alexander
Smith, Jason R.
Johri, Nikhil
Calders, Toon
Kumar, Vinay
Jardine, James
Keshet, Ezra
Schoenemann, Thomas
Soulet, Arnaud
SAFI, Waseem
Bodenstab, Nathan
Carreno-fuentes, Arnaldo
Trombetti, Marco
Silcox, Lucian
Ghoneim, Mahmoud
Barrena, Ander
Gordon, Jonathan
Hupp, Andrew
Manion, Steve L.
Raymond, Rudy
White, James P.
Lupinetti, Domenico
Krawczyk, Stefan
Meltzer, Jed A.
Sheth, Amit
Smith, Phillip
Kitagawa, Kotaro
Aparicio Gali, Fernando
Pinto, Francisco
Claudino, Leonardo
Schwarck, Florian
Sameti, Hossein
Young, Peter
Humayoun, Muhammad
Black, Donald
Béchet, Denis
Alumäe, Tanel
Mikolov, Tomas
Ezra, Jefferson
Raykar, Vikas
Echizen'ya, Hiroshi
Yvon, François
Nagy, István
Blei, David M.
Vasiljevs, Andrejs
Romeo, Salvatore
Hedegaard, Steffen
LeBrun, Jean-Luc
Dershowitz, Idan
Kuznetsov, Vitaly
Lohmann, Steffen
Rastegar-Mojarad, Majid
Cagan, Tomer
Reddington, Joseph
Leskovec, Jure
Meyer, Timothy J.
Wombacher, Andreas
Spitkovsky, Valentin I.
LoBue, Peter
Jha, Rahul
Alzate, Carlos
Balderas Posada, Carlos
Grieve-Smith, Angus
Anderson, Timothy
Koch, Mitchell
Goulian, Jérôme
Michael, Marc
Antoun, Christopher
Venkataraman, Vivek
Denton, Richard
Messiant, Cédric
Takegoshi, Daisuke
Weerman, Fred
Zupan, Blaž
Martzoukos, Spyros
Emerson, Guy
Lugaresi, Camillo
Jones, Simon
Arkhangelskiy, Timofey
Uthus, David C.
Ward, Nicolas
Vaswani, Ashish
Cerisara, Christophe
Kunc, Ladislav
Corvey, William J.
Pal, Christopher
Saralegi, Xabier
Galgani, Filippo
Glass, Zachary
Rocktäschel, Tim
Seligman, Martin
Hernault, Hugo
Orland, Luke
Vilenius, Mikko
Joshi, Salil
Jung, Sung-Jae
Melnikov, Michail
Lang, Alexander
Brosseau-Villeneuve, Bernard
Gao, Byron J.
Vinicombe, Heath
Nesbit, John
Dietterich, Thomas G.
Cornolti, Marco
Bucci, Stefano
Koirala, Cesar
Chavez, Alexander
Tsakalidis, Stavros
Fernández, Rubén
Machado, André
Diakopoulos, Nicholas
Medved, Dennis
Friedman, Menahem
Potter, Tim
Weidlich, Michael
McFate, Clifton
Kwiatkowski, Tom
O'Gorman, Tim
Martschat, Sebastian
Barlacchi, Gianni
Reberšek, Peter
Letard, Vincent
Beňuš, Štefan
Gwinnup, Jeremy
Prochasson, Emmanuel
Pereira, Francisco
van Huyssteen, Gerhard B.
Ćavar, Damir
Kramer, Jared
Vydiswaran, V. G. Vinod
Price, Timothy
Gruzitis, Normunds
Soeken, Mathias
Figueiredo, Mario
Tomasoni, Mattia
Kääriäinen, Matti
Kopack, Michael
Vitas, Duško
Wilson, Andrew T.
Toda, Tomoki
Harrison, Karl
Maharjan, Suraj
Skjærholt, Arne
Fattal, Raanan
Wager, Stefan
Gormley, Matthew R.
Smeaton, Alan
Dobrinkat, Marcus
Tapiovaara, Tero
Rizzolo, Nicholas
Passos, Alexandre
Neumann, Günter
Ott, Niels
Niekler, Andreas
Lambin, Xavier
Lieberman, Henry
Pereira, Fernando
Polnarov, Anatoly
Anastasiu, David C.
Villena-Román, Julio
Klotz, David
Fernández Slezak, Diego
Stern, Roni
Schmitz, Sylvain
Hallgren, Thomas
Stiehler, Felix
Rodríguez Hernández, Miguel
Nouri, Javad
Verlinde, Serge
Kuboň, Vladislav
Varlamis, Iraklis
Blacoe, William
de Malézieux, Guillaume
Kruszewski, German
Jorge, Alipio
Pao, Henry
Haidar, Md. Akmal
J. Silva, Mário
Tkachenko, Alexander
Walker, Daniel
Ferschke, Oliver
van Gompel, Maarten
O'Keefe, Timothy
Phandi, Peter
Wiebe, Eric
Chang, Jim
Raafat, Hazem
Cabulea, Cosmin
Barbaresi, Adrien
Yeh, Peter
Ljunglöf, Peter
Schober, Michael F.
Ruths, Derek
Fountain, Trevor
Matrouf, Driss
Henserdon, James
Henriksson, Aron
Kollar, Thomas
Littauer, Richard
Bessières, Philippe
Roy, Matthew
Bonev, Boyan
Blinov, Pavel
Sabyrgaliyev, Islam
Lin, Edward
Kothari, Alok
Asghari, Habibollah
Popov, Alexander
Tonra, Justin
Molchanov, Alexander
Diuk, Carlos
Kivimäki, Ilkka
von Waldenfels, Ruprecht
Boyd, Andrew
M. Raafat, Hazem
Trieschnigg, Dolf
Eskander, Ramy
Al Sallab, Ahmad
Zapirain, Beñat
Gödde, Florian
Farré, Jacques
Gerber, Adam
Carroll, Lucien
Kartsaklis, Dimitri
Hahn, Florian
Ageev, Mikhail
Delpeuch, Antonin
Stepanov, Evgeny
Tomlinson, Marc
Korenčić, Damir
EngstrÃ¶m, Christopher
Darvill, Jonathan
Yasuhara, Masaaki
Hanaki, Kentaro
Scaiano, Martin
Leixa, Jérémy
Abu-Jbara, Amjad
Hülscher, Olaf
Compton, Paul
Morstatter, Fred
O'Keefe, Tim
Poch, Marc
Nickerson, Jeffrey
Whitt, Richard J.
Macdonald, Craig
Bodnar, Stephen
Amigó, Enrique
Yu, Clement
Sündermann, David
Blanchon, Hervé
Dermouche, Mohamed
Ribeyre, Corentin
Fresko, Moshe
Tily, Harry
Cua, Jeffrey
Sjöbergh, Jonas
Preotiuc-Pietro, Daniel
Huijsmans, Dionysius
Hewlett, Daniel
Fette, Georg
Boroş, Tiberiu
Oiwa, Hidekazu
Novotney, Scott
ChÃ¡vez, Alexander
Beckner, Clayton
Van Wyk, Curt
Kamran, Amir
Crasborn, Onno
Tvinnereim, Endre
Cormack, James
Kashyap, Abhay
Móra, György
Obrebski, Tomasz
Staubs, Robert
Ombui, Edward
Mousser, Jaouad
Gupta, Rakesh
Wyner, Adam
Musat, Claudiu
Recski, Gábor
Conrad, Stefan
Tomalin, Marcus
Hodson, James
Schütte, Niels
El Kholy, Ahmed
Matten, Mark
Hender, Paul
Adams, Keith
Matos, Sérgio
Spiegler, Sebastian
Marchetti, Alessandro
Elghafari, Anas
Bouma, Gerlof
Cristi?, Maximiliano
Diaz, Fernando
Sulubacak, Umut
Geisler, Daniel
Weld, Daniel S.
Wood, Frank
Richardson, Matthew
Ramasamy, Loganathan
Voionmaa, Kaarlo
Massidda, Alberto
Bersini, Hugues
Shein, Fraser
Konopnicki, David
Beckley, Russ
Fernando, Samuel
Henderson, Matthew
Robledo-Arnuncio, Enrique
Tsuchida, Masaki
Mogadala, Aditya
Štajner, Tadej
Storch, Valerio
Arizmendi, Iker
Gupta, Kalyan
Ramanath, Rohan
Hieber, Felix
Tomai, Emmett
Reyes, Antonio
Shibuki, Hideyuki
Harth, Andreas
Martin-Brualla, Ricardo
Salton, Giancarlo
Nytrø, Øystein
McConvell, Patrick
Snyder, Justin
Stevens, Robert
Hazem, Amir
Bajec, Marko
Alotaibi, Fahd
Bozhanov, Bozhidar
Schatz, Thomas
Brown, Gavin
Gerner, Martin
Lekvam, Torvald
Comarela, Giovanni
Muhr, Markus
FernÃ¡ndez-GonzÃ¡lez, Daniel
Boudy, Jérôme
Kozat, S. Serdar
Vale, Oto
Riordan, Brian
Cohen, David
Wallstrom, Garrick
Mermer, Coşkun
Stewart, Ian
Sontag, David
Ford, Michael
Duric, Adnan
Keshet, Joseph
Cohen, Raphael
Leaman, Robert
Tomás, David
Laki, László
Meek, Christopher
Grave, Edouard
Shafir, Michael
Gupta, Anand
Zwick, Matthias
García Flores, Jorge
Chang, Jimmy
Hasegawa, Takayuki
Vasilev, Dimitar
Dehkharghani, Rahim
Lawson, Nolan
Nørvåg, Kjetil
Anderson, Andrew J.
Müller, Jens
Manterola, Iker
Palm, Günther
Bräutigam, Christof
Dunlop, Aaron
Fukumochi, Yoji
Schlotterbeck, Fabian
Purtee, Adam
Frank, Austin F.
Mukherjee, Sankar
Clifford, Jim
Gravano, Agustín
Bohnert, Fabian
Préa, Pascal
Zachry, Mark
Villazon-Terrazas, Boris
Albatal, Rami
Zilka, Lukas
Diatka, Vojtěch
Blondin Massé, Alexandre
Andrade, Daniel
Backus, Ad
Konrad, Manuel
van Hamme, Hugo
D'Eredita, Michael A.
Shirley, Kenneth
Abd El-Wahab, Mohamed
Stamborg, Marcus
Calvo, Rafael A.
Almeida, Miguel B.
Yang, Eugene
Chatzitheodorou, Konstantinos
Leisma, Henri
Gervás, Pablo
Gilbert, Mazin
Berend, Gábor
Dames, Nicholas
Bougares, Fethi
Mohammady, Ehsan
Nitti, Davide
Tamchyna, Aleš
Schatz, Benjamin
Banaee, Hadi
Sánchez-Cartagena, Víctor M.
Bedrick, Steven
Schiele, Bernt
Harwood, Aaron
Ziering, Patrick
Hare, Jonathon
Vogler, Heiko
Dickfelder, Raphael
Bendersky, Michael
Winner, Kevin
Kamigaito, Hidetaka
Huet, Gérard
Ivanov, Vladimir
Fernandes, Hilário
Illig, Jens
Sorower, Mohammad
Lamar, Thomas
Ross, Robert
Landwehr, Niels
Tchambo, Fred
Chan, Joel
Kuperman, Victor
Lansdall-Welfare, Thomas
Körner, Martin
Ziai, Ramon
Eckart, Thomas
Branco, António H.
Barbieri, Francesco
Neelakantan, Arvind
Marie, Benjamin
Meinedo, Hugo
Solak, Ercan
Peldszus, Andreas
Alhelbawy, Ayman
E. Banchs, Rafael
Milios, Evangelos
Nilsson, Gunnar
GÃ?Â³mez-RodrÃ?Â, Carlos
Bretier, Philippe
Silva, Fabio
Yamaguchi, Kota
Takamatsu, Shingo
Kilias, Torsten
O'Donnell, Tim
Velichkov, Boris
Wu, Leon
Sánchez-Martínez, Felipe
Vaassen, Frederik
Mathur, Prashant
Rivera, Robert
Stieglitz, Stefan
Remus, Robert
Gouws, Stephan
Ell, Basil
Khare, Prashant
Fialho, Pedro
Arcan, Mihael
Bowman, Samuel R.
Van Liefferinge, Stefaan
Adams, Oliver
Hanamoto, Atsushi
Makowiecki, Filip
Horvat, Matic
Chávez, Alexander
Silva, David
Magdon-Ismail, Malik
Park, Gregory
de Groote, Philippe
Sudhof, Moritz
Tomlinson, Bill
Macek, Tomas
Tsubaki, Masashi
Mungi, Ashish
Jackson, Tom
Molnár, Zsolt
Couto Vale, Daniel
Harpalani, Manoj
Blythe, James
Grivolla, Jens
Geiger, Jonathan
Schlund, Maximilian
Baskaya, Osman
Fornaciari, Tommaso
Menini, Stefano
Daumé III, Hal
León, Carlos
El Maarouf, Ismail
Görnerup, Olof
Kruger, Justin
Hall, Mark
Szarvas, György
Ytrestl, Gisle
Max, Aurélien
Hollingsworth, Charles
Scotch, Matthew
Mellebeek, Bart
Zell, Julian
Wrede, Sebastian
Mott, Justin
Rákosi, György
Váradi, Tamás
Mill, Simon
Rouhizadeh, Masoud
Desclés, Julien
Snoek, Conor
V., Krishnakumar
Fell, Michael
Nordgård, Torbjørn
Zobel, Justin
Seeker, Wolfgang
Kirschnick, Johannes
Kobayashi, Kazuki
Görgün, Onur
Dela Rosa, Kevin
Candido Jr., Arnaldo
Perronnin, Florent
Parish, Tim
KrÃ­Å¾, Vincent
Wueest, Bruno
Ortiz Rojas, Sergio
Séaghdha, Diarmuid
Günther, Tobias
Petrenz, Philipp
Eichmann, David
Grego, Tiago
Proisl, Thomas
Stratford, Evan
Leeman-Munk, Samuel
Swanson, Benjamin
Kummerfeld, Jonathan K.
Cohen, Paul
Jörwall, Jakob
Melamud, Oren
Landauer, Thomas K.
Mulholland, Matthew
Devlin, Jacob
Crowgey, Joshua
Bøgh, Kenneth S.
Huval, Brody
Almási, Attila
Gaffney, Scott
Geva, Shlomo
Ryan, James O.
Abbott, Rob
Hanaoka, Hiroki
Pavlopoulos, John
Kameyama, Wataru
Roturier, Johann
Tompa, Frank
O'Brien-Strain, Eamonn
Žabokrtský, Zdeněk
Tanigaki, Koichi
Silenzio, Vincent
Kumamoto, Tadahiko
Gilmanov, Timur
Kiso, Tetsuo
Hiruma, Nobuyuki
Machida, Yuichiro
Murray, Kenton
Talley, Edmund
Lim, Suk Hwan
Johannsen, Anders
Yazdani, Majid
Maas, Andrew L.
Gibbons, Christopher
Aletras, Nikolaos
Kerimov, Ruslan
Urieli, Assaf
Almberg, Jørn
Deveaud, Romain
Bechet, Frédéric
Cieliebak, Mark
van Halteren, Hans
Karami, Amir
Möbius, Bernd
Lindsey, Robert
Ouchi, Hiroki
Creamer, Germán G.
Graff, Dave
Joinson, Adam
Lyu, Michael R.
Freire, Nuno
Guzmán, Francisco
Akbik, Alan
Reyes, J. Alejandro
Flor, Michael
Katare, Rahul
Coster, William
Grimm, Robert
Piergallini, Mario
Stüber, Torsten
Revert, Ricardo
Serafini, Luciano
Crestana, Carlos
Ong, Nathan
Lejeune, Gael
Gonçalo Oliveira, Hugo
Mijinguini, Abdou
Savva, Manolis
Schlünder, Björn
Mögele, Hannes
Allman, Tod
Rodríguez Zivic, Pablo
Kirk, Nicholas H.
Cerruti, Julian
Harada, Tatsuya
Mizukami, Etsuo
Flati, Tiziano
Slaski, Adam
Kalyanpur, Aditya
Minaei-Bidgoli, Behrouz
McCallum, Anthony
Pashalis, John
Krčmář, Lubomír
Brevik, Mikael
Casamayor, Gerard
Szymanik, Jakub
Bordignon, Ulisse
Wibberley, Simon
Underwood, Ted
Suster, Simon
Heimerl, Florian
Leiva, Luis A.
Morchid, Mohamed
Shilon, Reshef
Villaseñor, Luis
Rodríquez, Horacio
Zerrouki, Taha
Cross, James
Velikovich, Leonid
Yadav, Kabir
Dürr, Oliver
Garner, Philip N.
Joachims, Thorsten
Ó Raghallaigh, Brian
Roller, Roland
Tyrefors Hinnerich, Björn
Baucom, Eric
Benevenuto, Fabricio
Tsioutsiouliklis, Kostas
Sokolov, Artem
Kubina, Jeff
Barnes, Derek
Moreth, Julian
Gleize, Martin
van Oosten, Philip
Takaku, Yohei
Ben Aharon, Roni
Dolan, Bill
Schneider, Oliver
Slater, Mark
Grappy, Arnaud
Wawer, Aleksander
Lamar, Michael
de Kok, Daniël
Mastin, John
Veloso, Adriano
Niehr, Thomas
Okatiev, Vladimir
Chollet, Gérard
Lagos, Nikolaos
Zhukov, Eugene
Laali, Majid
Sonntag, Jonathan
Watrin, Patrick
Ng, Dominick
Everson, Richard
Chi, Ed
Chen, David
Lee, Matthias
Giorgolo, Gianluca
MAKINO, Toshiro
Halgrim, Scott
Riesa, Jason
Papalexakis, Evangelos
Calapodescu, Ioan
Esplà-Gomis, Miquel
Thaul Lehrman, Michael
Dobnik, Simon
Kaneji, Kengo
Tanaka, Hiroki
Slud, Eric
Langlais, Phillippe
Gibson, Matthew
Salgueiro, Agostinho
Tyndall, Stephen
Takegata, Seiji
Crowston, Kevin
III, Hal
Groh, Georg
Burchfiel, Benjamin
Eichhorn, Ole
Nalisnick, Eric T.
Fossati, Marco
Burnett, Neil
Flego, Federico
Malm, Mats
Detienne, Boris
Agarwalla, Lalit
O'Brien, Ron
Bekavac, Marko
FernÃ¡ndez-Lanza, Santiago
Aamot, Elias
Arnold, Sebastian
Lang, Joel
El-Haj, Mahmoud
Dávila, Héctor
Socher, Richard
Kruit, Benno
Olovsson, Tomas
Kettunen, Kimmo
Moore, Joshua
Karandikar, Anand
Rowley, Andrew
Gropp, Martin
Koukourikos, Antonis
Baker, Simon
Carter, Jacob
Koolen, Ruud
Van der Goot, Erik
Mesgar, Mohsen
Köprü, Selçuk
Beloborodov, Alexander
Vanrompay, Yves
Hill, Felix
Labutov, Igor
Beaugendre, Frédéric
Gatti, Lorenzo
Winne, Phil
Bronner, Amit
Kretzschmar, Florian
Bastianelli, Emanuele
Perera, Prasad
Ganesalingam, Mohan
Grimmer, Justin
van Merrienboer, Bart
Elbassuoni, Shady
Stührenberg, Maik
Bharath, Anil
Reschke, Kevin
Teichmann, Christoph
Grandvalet, Yves
Szabó, János
Kadlec, Rudolf
Aly, Mohamed
Maney, Tucker
Rizzo, Albert
Pak, Alexander
Petkevič, Vladimír
Dimitrov, Stefan
Salway, Andrew
Tchechmedjiev, Andon
Goodwin, Travis
Saeed, Muhammad
GlavaÅ¡, Goran
Bruno, Emmanuel
Toepfer, Martin
Torres Martins, André
Akiba, Iwao
Gordon, Joshua B.
Heer, Jeffrey
Collazo, Armando
Crowell, Richard
Ruokolainen, Teemu
Schmidt, Stefan
Lemaire, Benoît
Babbar, Uday
Rankel, Peter A.
Lévy, François
Gerighausen, Daniel
Müller, Henning
Dessy, Adrien
ASBAYOU, Omar
Basile, Valerio
Munaka, Tatsuji
Sergienko, Roman
Mort, Alasdair
Li, Daren
Rossi, Riccardo
Oussalah, Mourad
Naish-Guzman, Andrew
Lofi, Christoph
Götz, Thilo
Robichaud, Benoît
Wampler, Stephen
Beschke, Sebastian
Goto, Hayato
Hinote, David
Daly, Raymond E.
Van Horenbeeck, Eric
Pasini, Tommaso
Versloot, Arjen
Niebuhr, Oliver
Boyce, Richard D.
Woliński, Marcin
McMahan, Brian
Al-Rfou, Rami
Marlin, Benjamin M.
Rizzo, Albert A.
Shayganfar, Mohammad
Stillwell, David
Schütze, Hinrich
Glinos, Demetrios
Hangya, Viktor
Elliott, Desmond
Garcia Flores, Jorge J.
Chebotar, Yevgen
Cosejo, David
Guerra, Raul
Byrne, Bill
Alarfaj, Fawaz
Rush, Alexander M.
Ipsic, Ivo
Hohensee, Matt
Besançon, Romaric
Haarslev, Volker
Feist, Rico
Mesnard, Olivier
Németh, Géza
Pichotta, Karl
Dylla, Maximilian
Kondo, Shuhei
Höglin, Erik
Khalidov, Vasil
Dawborn, Tim
Chuang, Jason
Quernheim, Daniel
Babaeian Jelodar, Ahmad
Shacham, Ron
Jacob, David
Radziszewski, Adam
Potter, Walter D.
Matthies, Franz
Ester, Martin
Cantos, Pascual
Martins, Bruno
Arppe, Antti
Whittaker, Edward
Varga, Dániel
Rosenfeld, Binyamin
